SPR_RSP,Label
0,Not Defined
1,Internal Medicine
2,General Medicine
3,Immunology and Allergy
4,Cardiology
5,Haematology
6,Endocrinology
7,Gastroenterology and Hepatology
8,Nephrology
9,Neurology
10,Nuclear Medicine
11,Paediatric Medicine
12,Physical Medicine (Rehabilitation)
13,Rheumatology
14,Respiratory and Sleep Medicine
15,Clinical Pharmacology
16,Geriatric Medicine
17,Medical Oncology
18,Intensive Care
19,Infectious Diseases
20,Pathology Laboratories
21,Pathology (CS&H)
22,Anatomical Pathology
23,Chemical Pathology
25,Forensic Pathology
26,Haematology (RCPA)
27,Immunology
28,Microbiology
29,Spec Path (Cons) – Temp Code
30,Emergency Medicine
31,Surgery
32,General Surgery
33,Cardio-Thoracic Surgery
34,Neurosurgery
35,Orthopaedic Surgery
36,Paediatric Surgery
37,Plastic and Reconstructive Surgery
38,Urology
39,Vascular Surgery
40,Clinical Genetics
41,Occupational Medicine
42,Pain Medicine
43,Palliative Medicine
44,?
46,Radiology
47,Diagnostic Radiology
48,Diagnostic Nuclear Medicine
49,Radiation Oncology
51,Anaesthetics
52,Dermatology
53,Obstetrics and Gynaecology
54,Ophthalmology
55,Otolaryngology
56,Psychiatry
57,Public Health Medicine
58,Rehabilitation Medicine
60,Anaesthetics (Intensive Care)
62,Oral and Maxillofacial Surgery
73,Oral Surgery - Dental - Old Code
75,?
76,C/Physician – Neonatal and Perinatal Medicine
77,C/Physician – Palliative Medicine (RACP)
78,C/Physician - Occupational & Environmental Medicine
79,C/Physician - Infectious Diseases
80,C/Physician – Clinical Genetics
81,C/Physician – Internal Medicine
82,C/Physician – General Medicine
83,C/Physician – Immunology and Allergy
84,C/Physician – Cardiology
85,C/Physician – Haematology
86,C/Physician – Endocrinology
87,C/Physician – Gastroenterology and Hepatology
88,C/Physician – Nephrology
89,C/Physician – Neurology
90,C/Physician – Nuclear Medicine
91,C/Physician – General Paediatrics
92,C/Physician – Rehabilitation Medicine
93,C/Physician – Rheumatology
94,C/Physician – Respiratory and Sleep Medicine
95,C/Physician – Clinical Pharmacology
96,C/Physician – Geriatric Medicine
97,C/Physician – Medical Oncology
98,C/Physician – Intensive Care
99,C/Physician – Psychiatry
101,Optometrist (Participating) - pre 18/8/99
102,Dentist (Approved) (OMS)
103,Biochemist (Approved)
104,Other Medical Practitioner - pre 1/11/96
105,Optometrist (Non-Participating)
107,Child Dental Benefits Schedule
110,Medical Practitioner post 1/11/96
112,Dentist (Registered) non specialist
113,Approved Path (to 31/7/87)
114,Health Screening
115,Accredited Orthodontist (Cleft)
116,Diagnostic Ultrasound
117,Approved Path (from 1/8/87)
118,Magnetic Resonance Imaging
119,?
124,?
127,Artificial Conception
130,Vocational Register
131,RACGP Trainee pre 1/11/96
132,RACGP Fellow
133,RACGP Trainee post 1/11/96
134,RACGP Trainee post 1/1/99 (GPTRAINEE) & RACGP Remote Vocational Training Scheme Trainees
135,Chiropractor
136,Osteopath
137,Physiotherapist
138,Podiatrist/Chiropodist
139,Prosthodontist
140,Endodontist
141,Paedodontist
142,Oral Medicine & Pathology
143,Periodontist
144,Grandparent Exemption (DI Services)
145,Remote Area Exemption (DI Services)
148,Ultrasound Services
149,Nuclear Medicine Credentialling
150,Medicare Bens Not Payable (LT Reg)
153,Oral Surgery (Dental) from 1/11/07
155,Orthodontist
156,Dental Prosthetist
158,Oral Maxillofacial Surgery (Dental) from 1/11/07
159,Special Needs Dentistry from 1/11/07
160,Interns
170,Audiologist
176,Remote Vocational Training Scheme (RVTS)
177,Queensland Country Relieving Program -QCRP
178,Pre-vocational General Practice Placements (PGPP) Program
179,Special Approved Placements Program (SAPP)
180,Temporary Resident Doctor (TRD)
181,Medicare Ben Not Payable (TRD)
182,Occupational Trainee (OT)
183,Medicare Ben Not Payable (OT)
185,OTD Reduced Moratorium - FLAG ONLY
186,OMPS remote - general practitioner (ROMP)
187,Fellows of the College of Sports Physicians and Approved placements for Sports Physicians program - APSP
188,Medicareplus OMPS Participation Program (MOMPR)
189,MedicarePlus OMPS ongoing > 5 years (MOMPU)
190,Local Rural/Remote Relief (RLRP)
191,Assistance at operations
192,Sleep Apnoea - Approved
193,Sleep Apnoea - Transitional
194,Approved Medical Deputising Service - AMDS Program approved placement- start Nov 1999
