,ITEM,BTOS (Heirarchy order),BTOS-4D
0,1,101,G
1,2,101,G
2,3,101,G
3,4,101,G
4,5,103,G
5,6,103,G
6,7,103,G
7,8,103,G
8,9,103,G
9,10,103,G
10,11,103,G
11,12,103,G
12,13,101,G
13,14,101,G
14,15,103,G
15,16,103,G
16,17,103,G
17,18,103,G
18,19,101,G
19,20,101,G
20,21,103,G
21,22,103,G
22,23,101,G
23,24,101,G
24,25,101,G
25,26,101,G
26,27,103,G
27,28,103,G
28,29,103,G
29,30,103,G
30,31,103,G
31,32,103,G
32,33,101,G
33,34,103,G
34,35,101,G
35,36,101,G
36,37,101,G
37,38,101,G
38,39,101,G
39,40,101,G
40,41,103,G
41,42,103,G
42,43,101,G
43,44,101,G
44,45,103,G
45,46,103,G
46,47,101,G
47,48,101,G
48,49,101,G
49,50,101,G
50,51,101,G
51,52,103,G
52,53,103,G
53,54,103,G
54,55,103,G
55,56,103,G
56,57,103,G
57,58,103,G
58,59,103,G
59,60,103,G
60,61,103,G
61,62,103,G
62,63,103,G
63,64,103,G
64,65,103,G
65,66,103,G
66,67,103,G
67,68,103,G
68,69,103,G
69,70,103,G
70,71,103,G
71,72,103,G
72,73,103,G
73,74,103,G
74,75,103,G
75,76,103,G
76,77,103,G
77,78,103,G
78,79,103,G
79,80,103,G
80,81,103,G
81,82,103,G
82,83,103,G
83,84,103,G
84,85,200,E
85,86,103,G
86,87,103,G
87,88,200,E
88,89,103,G
89,90,103,G
90,91,103,G
91,92,103,G
92,93,103,G
93,94,200,E
94,95,103,G
95,96,103,G
96,97,103,G
97,98,103,G
98,99,200,E
99,100,200,E
100,101,103,G
101,102,200,E
102,103,200,E
103,104,200,E
104,105,200,E
105,106,200,E
106,107,200,E
107,108,200,E
108,109,200,E
109,110,200,E
110,111,200,E
111,112,200,E
112,113,200,E
113,114,200,E
114,116,200,E
115,117,200,E
116,118,200,E
117,119,200,E
118,120,200,E
119,122,200,E
120,128,200,E
121,130,200,E
122,131,200,E
123,132,200,E
124,133,200,E
125,134,200,E
126,135,200,E
127,136,200,E
128,137,200,E
129,138,200,E
130,139,200,E
131,140,200,E
132,141,200,E
133,142,200,E
134,143,200,E
135,144,200,E
136,145,200,E
137,146,200,E
138,147,200,E
139,148,200,E
140,149,200,E
141,150,200,E
142,152,200,E
143,153,1100,T
144,154,200,E
145,155,200,E
146,156,200,E
147,157,200,E
148,158,200,E
149,159,200,E
150,160,103,G
151,161,103,G
152,162,103,G
153,163,103,G
154,164,103,G
155,170,103,G
156,171,103,G
157,172,103,G
158,173,103,G
159,180,900,O
160,182,900,O
161,184,900,O
162,186,900,O
163,190,300,B
164,192,300,B
165,193,101,G
166,194,300,B
167,195,101,G
168,196,300,B
169,197,101,G
170,198,300,B
171,199,101,G
172,200,300,B
173,201,300,B
174,204,300,B
175,205,300,B
176,207,300,B
177,208,300,B
178,209,300,B
179,210,300,B
180,211,300,B
181,213,300,B
182,216,300,B
183,217,300,B
184,234,300,B
185,241,300,B
186,242,300,B
187,246,300,B
188,247,300,B
189,248,300,B
190,250,300,B
191,258,300,B
192,267,300,B
193,273,300,B
194,274,300,B
195,275,300,B
196,278,300,B
197,280,300,B
198,284,300,B
199,288,200,E
200,289,200,E
201,290,300,B
202,291,200,E
203,293,200,E
204,295,300,B
205,296,200,E
206,297,200,E
207,298,300,B
208,299,200,E
209,300,200,E
210,302,200,E
211,304,200,E
212,306,200,E
213,308,200,E
214,310,200,E
215,312,200,E
216,314,200,E
217,316,200,E
218,318,200,E
219,319,200,E
220,320,200,E
221,322,200,E
222,324,200,E
223,326,200,E
224,328,200,E
225,330,200,E
226,332,200,E
227,334,200,E
228,336,200,E
229,338,200,E
230,340,1100,T
231,342,200,E
232,344,200,E
233,346,200,E
234,348,200,E
235,350,200,E
236,352,200,E
237,353,200,E
238,354,300,B
239,355,200,E
240,356,200,E
241,357,200,E
242,358,200,E
243,359,200,E
244,360,300,B
245,361,200,E
246,362,300,B
247,363,300,B
248,364,200,E
249,365,300,B
250,366,200,E
251,367,200,E
252,368,300,B
253,369,200,E
254,370,200,E
255,383,300,B
256,384,200,E
257,385,200,E
258,386,200,E
259,387,200,E
260,388,200,E
261,389,200,E
262,401,400,S
263,403,400,S
264,404,400,S
265,405,400,S
266,406,400,S
267,407,400,S
268,408,400,S
269,409,400,S
270,410,200,E
271,411,200,E
272,412,200,E
273,413,200,E
274,414,200,E
275,415,200,E
276,416,200,E
277,417,200,E
278,443,400,S
279,444,103,G
280,445,103,G
281,446,103,G
282,447,103,G
283,448,103,G
284,449,103,G
285,450,400,S
286,453,400,S
287,454,400,S
288,457,400,S
289,458,400,S
290,459,400,S
291,460,400,S
292,461,400,S
293,462,400,S
294,463,400,S
295,464,400,S
296,465,400,S
297,466,400,S
298,467,400,S
299,468,400,S
300,469,400,S
301,470,400,S
302,471,400,S
303,472,400,S
304,473,400,S
305,474,400,S
306,475,400,S
307,476,400,S
308,477,400,S
309,478,400,S
310,479,400,S
311,480,400,S
312,481,400,S
313,482,400,S
314,483,400,S
315,484,400,S
316,485,400,S
317,486,400,S
318,487,400,S
319,488,400,S
320,489,400,S
321,490,400,S
322,492,400,S
323,493,400,S
324,497,400,S
325,500,400,S
326,501,200,E
327,503,200,E
328,505,400,S
329,506,400,S
330,507,200,E
331,509,400,S
332,510,400,S
333,511,200,E
334,513,400,S
335,514,400,S
336,515,200,E
337,517,400,S
338,518,400,S
339,519,200,E
340,520,200,E
341,521,400,S
342,522,400,S
343,523,400,S
344,524,400,S
345,525,400,S
346,526,400,S
347,527,400,S
348,528,400,S
349,529,400,S
350,530,200,E
351,531,400,S
352,532,200,E
353,533,400,S
354,534,200,E
355,535,400,S
356,536,200,E
357,537,400,S
358,538,400,S
359,539,400,S
360,540,400,S
361,541,400,S
362,542,400,S
363,543,400,S
364,544,400,S
365,545,400,S
366,546,400,S
367,547,400,S
368,548,400,S
369,549,400,S
370,550,400,S
371,551,400,S
372,552,400,S
373,553,400,S
374,554,400,S
375,556,400,S
376,557,400,S
377,558,400,S
378,559,400,S
379,560,400,S
380,561,400,S
381,562,400,S
382,563,400,S
383,564,400,S
384,565,400,S
385,566,400,S
386,567,400,S
387,568,400,S
388,569,400,S
389,570,400,S
390,571,400,S
391,572,400,S
392,573,400,S
393,574,400,S
394,575,400,S
395,576,400,S
396,577,400,S
397,597,101,G
398,598,103,G
399,599,101,G
400,600,103,G
401,601,101,G
402,602,101,G
403,603,101,G
404,696,103,G
405,697,103,G
406,698,103,G
407,700,102,G
408,701,102,R
409,702,102,G
410,703,102,R
411,704,102,G
412,705,102,R
413,706,102,G
414,707,102,R
415,708,102,G
416,709,102,G
417,710,102,G
418,711,110,G
419,712,102,G
420,713,102,G
421,714,102,G
422,715,102,G
423,716,102,G
424,717,102,G
425,718,102,G
426,719,102,G
427,720,102,G
428,721,102,G
429,722,102,G
430,723,102,G
431,724,102,G
432,725,102,G
433,726,102,G
434,727,102,G
435,728,102,G
436,729,102,G
437,730,102,G
438,731,102,G
439,732,102,G
440,734,102,G
441,735,102,G
442,736,102,G
443,738,102,G
444,739,102,G
445,740,102,G
446,742,102,G
447,743,102,G
448,744,102,G
449,746,102,G
450,747,102,G
451,748,400,S
452,749,102,G
453,750,102,G
454,751,400,S
455,752,400,S
456,753,400,S
457,754,400,S
458,755,400,S
459,756,400,S
460,757,102,G
461,758,102,G
462,759,102,G
463,760,400,S
464,762,102,G
465,764,400,S
466,765,102,G
467,767,400,S
468,768,102,G
469,770,1100,T
470,771,102,G
471,773,102,G
472,774,1100,T
473,775,102,G
474,777,1100,T
475,778,102,G
476,779,102,G
477,780,1100,T
478,781,1100,T
479,782,1100,T
480,783,1100,T
481,784,1100,T
482,785,1100,T
483,786,1100,T
484,787,400,S
485,790,400,S
486,791,600,I
487,793,600,I
488,794,600,I
489,795,1100,T
490,796,1100,T
491,797,1100,T
492,798,1100,T
493,799,1100,T
494,800,1100,T
495,801,200,E
496,802,1100,T
497,803,200,E
498,804,1100,T
499,805,200,E
500,806,1100,T
501,807,200,E
502,809,200,E
503,810,1100,T
504,811,200,E
505,813,200,E
506,814,1100,T
507,815,200,E
508,816,1100,T
509,817,1100,T
510,818,1100,T
511,819,1100,T
512,820,200,E
513,821,1100,T
514,822,200,E
515,823,200,E
516,824,1100,T
517,825,200,E
518,826,200,E
519,828,200,E
520,830,200,E
521,831,1100,T
522,832,200,E
523,833,1100,T
524,834,200,E
525,835,200,E
526,836,1100,T
527,837,200,E
528,838,200,E
529,839,1100,T
530,840,1100,T
531,841,1100,T
532,842,1100,T
533,843,1100,T
534,844,1100,T
535,845,1100,T
536,846,1100,T
537,847,1100,T
538,848,1100,T
539,849,1100,T
540,850,1100,T
541,851,200,E
542,852,200,E
543,853,1100,T
544,854,1100,T
545,855,200,E
546,856,1100,T
547,857,200,E
548,858,200,E
549,859,1100,T
550,860,1100,T
551,861,200,E
552,862,1100,T
553,863,1100,T
554,864,200,E
555,865,1100,T
556,866,200,E
557,870,1100,T
558,871,200,E
559,872,200,E
560,874,1100,T
561,875,1100,T
562,877,1100,T
563,878,1100,T
564,879,1100,T
565,880,200,E
566,882,1100,T
567,883,1100,T
568,884,1100,T
569,886,1100,T
570,887,200,E
571,888,200,E
572,889,200,E
573,890,200,E
574,893,200,E
575,895,1100,T
576,897,1100,T
577,900,102,G
578,902,1100,T
579,903,102,G
580,904,1100,T
581,907,1100,T
582,908,1100,T
583,909,1100,T
584,910,600,I
585,911,600,I
586,912,1100,T
587,913,600,I
588,915,1100,T
589,916,1100,T
590,917,1100,T
591,918,1100,T
592,920,1100,T
593,921,1100,T
594,922,1100,T
595,923,1100,T
596,924,700,S
597,925,1100,T
598,926,1100,T
599,927,1100,T
600,928,1100,T
601,929,1100,T
602,931,1100,T
603,932,1100,T
604,934,1100,T
605,936,1100,T
606,938,1100,T
607,939,1100,T
608,940,1100,T
609,944,1100,T
610,947,1100,T
611,949,1100,T
612,950,1100,T
613,951,1100,T
614,952,1100,T
615,953,1100,T
616,954,1100,T
617,955,1100,T
618,956,1100,T
619,957,1100,T
620,958,1100,T
621,960,1100,T
622,963,1100,T
623,966,1100,T
624,968,1100,T
625,970,1100,T
626,974,1100,T
627,976,1100,T
628,977,1100,T
629,978,1100,T
630,979,1100,T
631,980,103,G
632,981,1100,T
633,982,1100,T
634,983,1100,T
635,984,1100,T
636,985,1100,T
637,987,1100,T
638,989,1100,T
639,990,600,I
640,991,600,I
641,992,600,I
642,993,600,I
643,994,1100,T
644,995,600,I
645,996,103,G
646,997,103,G
647,998,103,G
648,999,600,I
649,1001,502,P
650,1002,502,P
651,1003,502,P
652,1004,502,P
653,1005,502,P
654,1006,502,P
655,1007,502,P
656,1008,502,P
657,1009,502,P
658,1010,502,P
659,1011,502,P
660,1012,502,P
661,1013,502,P
662,1014,502,P
663,1015,502,P
664,1016,502,P
665,1017,502,P
666,1018,502,P
667,1019,502,P
668,1020,502,P
669,1021,502,P
670,1022,502,P
671,1023,502,P
672,1024,502,P
673,1025,502,P
674,1026,502,P
675,1027,502,P
676,1028,502,P
677,1029,502,P
678,1030,502,P
679,1032,502,P
680,1033,502,P
681,1034,502,P
682,1035,502,P
683,1036,502,P
684,1037,502,P
685,1038,502,P
686,1039,502,P
687,1040,502,P
688,1041,502,P
689,1042,502,P
690,1043,502,P
691,1044,502,P
692,1045,502,P
693,1046,502,P
694,1047,502,P
695,1048,502,P
696,1049,502,P
697,1050,502,P
698,1051,502,P
699,1052,502,P
700,1053,502,P
701,1054,502,P
702,1055,502,P
703,1056,502,P
704,1057,502,P
705,1058,502,P
706,1059,502,P
707,1060,502,P
708,1061,502,P
709,1062,502,P
710,1063,502,P
711,1064,502,P
712,1065,502,P
713,1066,502,P
714,1067,502,P
715,1068,502,P
716,1069,502,P
717,1070,502,P
718,1071,502,P
719,1072,502,P
720,1073,502,P
721,1074,502,P
722,1075,502,P
723,1076,502,P
724,1077,502,P
725,1078,502,P
726,1079,502,P
727,1080,502,P
728,1081,502,P
729,1082,502,P
730,1083,502,P
731,1084,502,P
732,1085,502,P
733,1086,502,P
734,1087,502,P
735,1088,502,P
736,1089,502,P
737,1090,502,P
738,1091,502,P
739,1092,502,P
740,1093,502,P
741,1094,502,P
742,1095,502,P
743,1096,502,P
744,1097,502,P
745,1098,502,P
746,1099,502,P
747,1100,502,P
748,1101,502,P
749,1102,502,P
750,1103,502,P
751,1104,502,P
752,1105,502,P
753,1106,502,P
754,1107,502,P
755,1108,502,P
756,1109,502,P
757,1110,502,P
758,1111,502,P
759,1112,502,P
760,1113,502,P
761,1114,502,P
762,1115,502,P
763,1116,502,P
764,1117,502,P
765,1118,502,P
766,1119,502,P
767,1120,502,P
768,1121,502,P
769,1122,502,P
770,1123,502,P
771,1124,502,P
772,1125,502,P
773,1126,502,P
774,1127,502,P
775,1128,502,P
776,1129,502,P
777,1130,502,P
778,1131,502,P
779,1132,502,P
780,1133,502,P
781,1134,502,P
782,1135,502,P
783,1136,502,P
784,1137,502,P
785,1138,502,P
786,1139,502,P
787,1140,502,P
788,1141,502,P
789,1142,502,P
790,1143,502,P
791,1144,502,P
792,1145,502,P
793,1146,502,P
794,1147,502,P
795,1148,502,P
796,1149,502,P
797,1150,502,P
798,1151,502,P
799,1152,502,P
800,1153,502,P
801,1154,502,P
802,1155,502,P
803,1156,502,P
804,1157,502,P
805,1158,502,P
806,1159,502,P
807,1160,502,P
808,1161,502,P
809,1162,502,P
810,1163,502,P
811,1164,502,P
812,1166,502,P
813,1167,502,P
814,1168,502,P
815,1169,502,P
816,1170,502,P
817,1171,502,P
818,1172,502,P
819,1173,502,P
820,1176,502,P
821,1177,502,P
822,1179,502,P
823,1180,502,P
824,1181,502,P
825,1182,502,P
826,1183,502,P
827,1184,502,P
828,1187,502,P
829,1188,502,P
830,1190,502,P
831,1191,502,P
832,1192,502,P
833,1193,502,P
834,1194,502,P
835,1195,502,P
836,1196,502,P
837,1197,502,P
838,1198,502,P
839,1199,502,P
840,1201,502,P
841,1202,502,P
842,1203,502,P
843,1204,502,P
844,1205,502,P
845,1206,502,P
846,1207,502,P
847,1208,502,P
848,1209,502,P
849,1210,502,P
850,1211,502,P
851,1212,502,P
852,1213,502,P
853,1214,502,P
854,1215,502,P
855,1216,502,P
856,1217,502,P
857,1218,502,P
858,1219,502,P
859,1220,502,P
860,1221,502,P
861,1222,502,P
862,1223,502,P
863,1224,502,P
864,1225,502,P
865,1226,502,P
866,1227,502,P
867,1228,502,P
868,1229,502,P
869,1230,502,P
870,1231,502,P
871,1232,502,P
872,1234,502,P
873,1235,502,P
874,1236,502,P
875,1237,502,P
876,1238,502,P
877,1239,502,P
878,1242,502,P
879,1243,502,P
880,1244,502,P
881,1246,502,P
882,1247,502,P
883,1248,502,P
884,1249,502,P
885,1250,502,P
886,1251,502,P
887,1252,502,P
888,1253,502,P
889,1254,502,P
890,1255,502,P
891,1256,502,P
892,1257,502,P
893,1258,502,P
894,1259,502,P
895,1260,502,P
896,1261,502,P
897,1262,502,P
898,1263,502,P
899,1264,502,P
900,1265,502,P
901,1266,502,P
902,1267,502,P
903,1268,502,P
904,1269,502,P
905,1270,502,P
906,1271,502,P
907,1272,502,P
908,1273,502,P
909,1274,502,P
910,1275,502,P
911,1276,502,P
912,1277,502,P
913,1278,502,P
914,1279,502,P
915,1280,502,P
916,1281,502,P
917,1282,502,P
918,1283,502,P
919,1284,502,P
920,1285,502,P
921,1286,502,P
922,1287,502,P
923,1288,502,P
924,1289,502,P
925,1290,502,P
926,1291,502,P
927,1292,502,P
928,1293,502,P
929,1294,502,P
930,1295,502,P
931,1296,502,P
932,1297,502,P
933,1298,502,P
934,1299,502,P
935,1300,502,P
936,1301,502,P
937,1302,502,P
938,1303,502,P
939,1304,502,P
940,1305,502,P
941,1306,502,P
942,1307,502,P
943,1308,502,P
944,1309,502,P
945,1310,502,P
946,1311,502,P
947,1312,502,P
948,1313,502,P
949,1314,502,P
950,1315,502,P
951,1316,502,P
952,1317,502,P
953,1318,502,P
954,1319,502,P
955,1320,502,P
956,1321,502,P
957,1322,502,P
958,1323,502,P
959,1324,502,P
960,1325,502,P
961,1326,502,P
962,1327,502,P
963,1328,502,P
964,1329,502,P
965,1330,502,P
966,1331,502,P
967,1332,502,P
968,1333,502,P
969,1334,502,P
970,1335,502,P
971,1336,502,P
972,1337,502,P
973,1338,502,P
974,1339,502,P
975,1340,502,P
976,1341,502,P
977,1342,502,P
978,1343,502,P
979,1344,502,P
980,1345,502,P
981,1346,502,P
982,1347,502,P
983,1348,502,P
984,1349,502,P
985,1350,502,P
986,1351,502,P
987,1352,502,P
988,1353,502,P
989,1354,502,P
990,1355,502,P
991,1356,502,P
992,1357,502,P
993,1358,502,P
994,1359,502,P
995,1360,502,P
996,1361,502,P
997,1362,502,P
998,1363,502,P
999,1364,502,P
1000,1365,502,P
1001,1366,502,P
1002,1367,502,P
1003,1368,502,P
1004,1369,502,P
1005,1370,502,P
1006,1371,502,P
1007,1372,502,P
1008,1373,502,P
1009,1374,502,P
1010,1375,502,P
1011,1376,502,P
1012,1377,502,P
1013,1378,502,P
1014,1379,502,P
1015,1380,502,P
1016,1381,502,P
1017,1382,502,P
1018,1383,502,P
1019,1384,502,P
1020,1385,502,P
1021,1386,502,P
1022,1387,502,P
1023,1388,502,P
1024,1389,502,P
1025,1390,502,P
1026,1391,502,P
1027,1392,502,P
1028,1393,502,P
1029,1394,502,P
1030,1395,502,P
1031,1396,502,P
1032,1397,502,P
1033,1398,502,P
1034,1399,502,P
1035,1400,502,P
1036,1401,502,P
1037,1402,502,P
1038,1403,502,P
1039,1404,502,P
1040,1405,502,P
1041,1406,502,P
1042,1407,502,P
1043,1408,502,P
1044,1409,502,P
1045,1410,502,P
1046,1411,502,P
1047,1412,502,P
1048,1413,502,P
1049,1414,502,P
1050,1415,502,P
1051,1416,502,P
1052,1417,502,P
1053,1418,502,P
1054,1419,502,P
1055,1420,502,P
1056,1421,502,P
1057,1422,502,P
1058,1424,502,P
1059,1425,502,P
1060,1429,502,P
1061,1430,502,P
1062,1431,502,P
1063,1432,502,P
1064,1433,502,P
1065,1434,502,P
1066,1435,502,P
1067,1436,502,P
1068,1437,502,P
1069,1438,502,P
1070,1439,502,P
1071,1440,502,P
1072,1445,502,P
1073,1446,502,P
1074,1447,502,P
1075,1448,502,P
1076,1449,502,P
1077,1450,502,P
1078,1451,502,P
1079,1452,502,P
1080,1453,502,P
1081,1454,502,P
1082,1455,502,P
1083,1456,502,P
1084,1457,502,P
1085,1458,502,P
1086,1459,502,P
1087,1460,502,P
1088,1461,502,P
1089,1462,502,P
1090,1463,502,P
1091,1464,502,P
1092,1465,502,P
1093,1466,502,P
1094,1467,502,P
1095,1468,502,P
1096,1469,502,P
1097,1470,502,P
1098,1471,502,P
1099,1472,502,P
1100,1473,502,P
1101,1474,502,P
1102,1475,502,P
1103,1476,502,P
1104,1477,502,P
1105,1478,502,P
1106,1479,502,P
1107,1480,502,P
1108,1481,502,P
1109,1482,502,P
1110,1483,502,P
1111,1484,502,P
1112,1485,502,P
1113,1486,502,P
1114,1487,502,P
1115,1488,502,P
1116,1489,502,P
1117,1490,502,P
1118,1491,502,P
1119,1492,502,P
1120,1493,502,P
1121,1494,502,P
1122,1495,502,P
1123,1496,502,P
1124,1497,502,P
1125,1498,502,P
1126,1499,502,P
1127,1500,502,P
1128,1501,502,P
1129,1502,502,P
1130,1503,502,P
1131,1504,502,P
1132,1505,502,P
1133,1506,502,P
1134,1507,502,P
1135,1508,502,P
1136,1509,502,P
1137,1510,502,P
1138,1511,502,P
1139,1512,502,P
1140,1513,502,P
1141,1514,502,P
1142,1516,502,P
1143,1517,502,P
1144,1521,502,P
1145,1522,502,P
1146,1523,502,P
1147,1524,502,P
1148,1525,502,P
1149,1526,502,P
1150,1527,502,P
1151,1528,502,P
1152,1529,502,P
1153,1530,502,P
1154,1531,502,P
1155,1532,502,P
1156,1533,502,P
1157,1534,502,P
1158,1535,502,P
1159,1536,502,P
1160,1537,502,P
1161,1538,502,P
1162,1539,502,P
1163,1540,502,P
1164,1541,502,P
1165,1542,502,P
1166,1543,502,P
1167,1544,502,P
1168,1545,502,P
1169,1546,502,P
1170,1548,502,P
1171,1549,502,P
1172,1550,502,P
1173,1551,502,P
1174,1556,502,P
1175,1557,502,P
1176,1558,502,P
1177,1559,502,P
1178,1560,502,P
1179,1561,502,P
1180,1562,502,P
1181,1563,502,P
1182,1564,502,P
1183,1565,502,P
1184,1566,502,P
1185,1567,502,P
1186,1569,502,P
1187,1570,502,P
1188,1571,502,P
1189,1572,502,P
1190,1575,502,P
1191,1576,502,P
1192,1577,502,P
1193,1578,502,P
1194,1579,502,P
1195,1580,502,P
1196,1581,502,P
1197,1582,502,P
1198,1583,502,P
1199,1584,502,P
1200,1586,502,P
1201,1587,502,P
1202,1588,502,P
1203,1589,502,P
1204,1590,502,P
1205,1591,502,P
1206,1592,502,P
1207,1593,502,P
1208,1595,502,P
