,ITEM,BTOS (Heirarchy order),BTOS
0,1,101,A
1,2,101,A
2,3,101,A
3,4,101,A
4,5,103,B
5,6,103,B
6,7,103,B
7,8,103,B
8,9,103,B
9,10,103,B
10,11,103,B
11,12,103,B
12,13,101,A
13,14,101,A
14,15,103,B
15,16,103,B
16,17,103,B
17,18,103,B
18,19,101,A
19,20,101,A
20,21,103,B
21,22,103,B
22,23,101,A
23,24,101,A
24,25,101,A
25,26,101,A
26,27,103,B
27,28,103,B
28,29,103,B
29,30,103,B
30,31,103,B
31,32,103,B
32,33,101,A
33,34,103,B
34,35,101,A
35,36,101,A
36,37,101,A
37,38,101,A
38,39,101,A
39,40,101,A
40,41,103,B
41,42,103,B
42,43,101,A
43,44,101,A
44,45,103,B
45,46,103,B
46,47,101,A
47,48,101,A
48,49,101,A
49,50,101,A
50,51,101,A
51,52,103,B
52,53,103,B
53,54,103,B
54,55,103,B
55,56,103,B
56,57,103,B
57,58,103,B
58,59,103,B
59,60,103,B
60,61,103,B
61,62,103,B
62,63,103,B
63,64,103,B
64,65,103,B
65,66,103,B
66,67,103,B
67,68,103,B
68,69,103,B
69,70,103,B
70,71,103,B
71,72,103,B
72,73,103,B
73,74,103,B
74,75,103,B
75,76,103,B
76,77,103,B
77,78,103,B
78,79,103,B
79,80,103,B
80,81,103,B
81,82,103,B
82,83,103,B
83,84,103,B
84,85,200,C
85,86,103,B
86,87,103,B
87,88,200,C
88,89,103,B
89,90,103,B
90,91,103,B
91,92,103,B
92,93,103,B
93,94,200,C
94,95,103,B
95,96,103,B
96,97,103,B
97,98,103,B
98,99,200,C
99,100,200,C
100,101,103,B
101,102,200,C
102,103,200,C
103,104,200,C
104,105,200,C
105,106,200,C
106,107,200,C
107,108,200,C
108,109,200,C
109,110,200,C
110,111,200,C
111,112,200,C
112,113,200,C
113,114,200,C
114,116,200,C
115,117,200,C
116,118,200,C
117,119,200,C
118,120,200,C
119,122,200,C
120,128,200,C
121,130,200,C
122,131,200,C
123,132,200,C
124,133,200,C
125,134,200,C
126,135,200,C
127,136,200,C
128,137,200,C
129,138,200,C
130,139,200,C
131,140,200,C
132,141,200,C
133,142,200,C
134,143,200,C
135,144,200,C
136,145,200,C
137,146,200,C
138,147,200,C
139,148,200,C
140,149,200,C
141,150,200,C
142,152,200,C
143,153,1100,L
144,154,200,C
145,155,200,C
146,156,200,C
147,157,200,C
148,158,200,C
149,159,200,C
150,160,103,B
151,161,103,B
152,162,103,B
153,163,103,B
154,164,103,B
155,170,103,B
156,171,103,B
157,172,103,B
158,173,103,B
159,180,900,J
160,182,900,J
161,184,900,J
162,186,900,J
163,190,300,D
164,192,300,D
165,193,101,A
166,194,300,D
167,195,101,A
168,196,300,D
169,197,101,A
170,198,300,D
171,199,101,A
172,200,300,D
173,201,300,D
174,204,300,D
175,205,300,D
176,207,300,D
177,208,300,D
178,209,300,D
179,210,300,D
180,211,300,D
181,213,300,D
182,216,300,D
183,217,300,D
184,234,300,D
185,241,300,D
186,242,300,D
187,246,300,D
188,247,300,D
189,248,300,D
190,250,300,D
191,258,300,D
192,267,300,D
193,273,300,D
194,274,300,D
195,275,300,D
196,278,300,D
197,280,300,D
198,284,300,D
199,288,200,C
200,289,200,C
201,290,300,D
202,291,200,C
203,293,200,C
204,295,300,D
205,296,200,C
206,297,200,C
207,298,300,D
208,299,200,C
209,300,200,C
210,302,200,C
211,304,200,C
212,306,200,C
213,308,200,C
214,310,200,C
215,312,200,C
216,314,200,C
217,316,200,C
218,318,200,C
219,319,200,C
220,320,200,C
221,322,200,C
222,324,200,C
223,326,200,C
224,328,200,C
225,330,200,C
226,332,200,C
